STEP,TIME,ISLAND_ID,AGENTS_NUMBER,WHOLE_ENERGY,AVERAGE_MERIT_FACTOR_VALUE,BEST_MERIT_FACTOR_VALUE,BEST_SOLUTION
0,0,1,100,10000,1262.68,657,1.9025875,11010101001001100010010000101000111101101100000001
0,2,2,100,10000,1217.64,601,2.079867,01000111100110101001110111111001110100000111010001
14,11344,1,2347,9334.316,927.9263,409,3.0562348,00010101001111000110011000010110101000100111110110
14,11347,2,2412,9379.307,936.267,393,3.1806617,10011001100101101111010110111110010100000111100010
20,22221,1,2414,9302.352,880.37366,409,3.0562348,00010101001111000110011000010110101000100111110110
20,22227,2,2449,9317.121,879.21967,393,3.1806617,10011001100101101111010110111110010100000111100010
26,33256,1,2377,9260.834,841.3197,385,3.2467532,11111110011110010000110110011000101101101010100010
26,33268,2,2372,9280.961,847.0438,393,3.1806617,10011001100101101111010110111110010100000111100010
32,43856,1,2313,9228.045,820.40686,385,3.2467532,11111110011110010000110110011000101101101010100010
32,43867,2,2331,9168.902,826.66797,385,3.2467532,10110110110100010001001000011100111011000001110111
38,54205,1,2287,9183.807,811.0778,385,3.2467532,11111110011110010000110110011000101101101010100010
38,54215,2,2248,9132.7705,810.7189,385,3.2467532,11011010111001110001001000010010011111000001110101
44,64407,1,2247,9122.466,799.9675,385,3.2467532,11111110011110010000110110011000101101101010100010
44,64417,2,2248,9109.512,786.484,289,4.3252597,01011010111001110001001000010010011111000001110101
50,74678,1,2261,9045.183,784.8443,385,3.2467532,01001111010100011110001100100011100110110100000000
50,74689,2,2248,9069.907,776.5303,289,4.3252597,01011010111001110001001000010010011111000001110101
